id,name,kgid
swipereveallayout,SwipeRevealLayout,311
krux,Krux,312
quantcast,Quantcast,313
htmlcleaner,htmlcleaner,314
tablelayout,Tablelayout,315
mobileapptracking,MobileAppTracking,316
wechat,WeChat,317
protobuf_micro,Google Protocol Buffers Micro,318
moga,Moga,319
twitter4j,Twitter4j,320
naver,Naver,321
dnsjava,dnsjava,322
apache_thrift,Apache Thrift,323
aerserv,AerServ,324
jcifs,The Java CIFS Client Library (JCIFS),325
devsmart,DevsmartLib,326
httpclientandroidlib,HttpClient for Android,327
cocos2d,Cocos2D,328
viewpagerextensions,ViewPagerExtensions,329
tapcore,tapcore,330
adpopcorn,adPOPcorn,331
upsight,Upsight,332
admarvel,AdMarvel,333
receptiv,Receptiv,334
pdftron,PDFTron,335
jcraft,JCraft,336
android_page_curl,Android Page Curl,337
measite_smack,asmack,338
jaudiotagger,JAudiotagger,339
adstir,Adstir,341
webtrends,Webtrends mobile,342
adlantis,Adlantis,343
display_io,display.io,344
outbrain,Outbrain,345
apptimize,Apptimize,346
mdotm,MdotM,347
robotmedia,RobotMedia Billing,348
conductor,Conductor,349
noqoush,Noqoush AdFalcon,350
papaya,Papaya Social,351
datadroid,DataDroid,352
hyprmx,HyprMX,353
fgl_enhance,Enhance,354
tagsoup,TagSoup,355
novell_sasl,Novell SASL,356
adad,AdAd,357
androidbootstrap,Android Bootstrap,358
omniture,Adobe App Measurement for Android,359
kiip,Kiip,360
yume,YuMe,361
juniversalchardet,juniversalchardet,362
markupartist_pulltorefresh,android-pulltorefresh,363
optimizely,Optimizely,364
onbarcode,OnBarcode,365
amoad,AmoAd,366
talkingdata,TalkingData,367
inneractive,Inneractive,368
conversant,Conversant,369
byyd,byyd,370
fractional-media,Fractional Media,371
taboola,Taboola,372
marmalade,Marmalade SDK,373
zoomview,Android zooming view,374
adwhirl,AdWhirl,375
appnexus,AppNexus,376
mobclix,MobClix,377
apsalar,Apsalar,378
freewheel,FreeWheel,379
fotoapparat,Fotoapparat,380
kenai,Project Kenai - jbosh,381
mapviewballoons,mapviewballoons,382
samsung_pen,Samsung Pen SDK,383
scoreloop,ScoreLoop,384
twofortyfouram_locale,Locale,385
sponsorpay,Sponsorpay,386
nullwire,android-remote-stacktrace,387
fiksu,Fiksu Mobile App Marketing,388
admaker,Mediba Admaker,389
tapsense,TapSense,390
tapit,TapIt,391
rhythmone,Rhythm Premium Mobile Video Advertising,392
greendroid,GreenDroid,393
braintree,Braintree Client Encryption Library,394
getjar,GetJar,395
nativex,NativeX,396
lazylist,LazyList,397
pubnative,PubNative,398
adlib,AdLib,399
droidfu,Droid-Fu,400
android-annotations,AndroidAnnotations,401
beintoo,BeInToo,402
tenjin,Tenjin,403
youappi,YouAppi,404
apportable,Apportable,405
tapfortap,Tap for Tap,406
mongodb_driver,MongoDB Java Driver,407
vpon,Vpon,408
calldorado,CallDorado,409
openudid,OpenUDID,410
openfeint,OpenFeint,411
mobpartner,MobPartner,412
mediba,mediba ad,413
liverail,LiveRail,414
awesomevalidation,AwesomeValidation,415
wiyun,WiYun,416
timeline_view,Timeline View,417
microlog,microlog4android,418
openx,OpenX,419
pocketchange,Pocket Change,420
color-picker-view,mColorPicker,421
medialets,Medialets,422
ignition,Ignition,423
zestadz,Komli Mobile (aka ZestAdz),424
jettison,Jettison JSON StAX Implementation,425
madvertise,Madvertise,426
bump,Bump,427
litho,Litho,428
mobwin,MobWIN,429
marketo,Marketo Mobile,430
mocean,mOcean,431
adwo,Adwo,432
metaps,Metaps,433
appdriver,AppDriver,434
bitlyj,bitlyj,435
swarm,swarm,436
jtwitter,JTwitter,437
socialize,Socialize,438
easydeviceinfo,EasyDeviceInfo,439
ibm_push,IBM Mobile Push Notification,440
godot,Godot,441
libs_for_android,libs-for-android,442
fortumo,Fortumo,443
superrewards,AdKnowledge Super Rewards,444
cauly,Cauly Ads,445
jchardet,jchardet,446
tapcontext,Tapcontext,447
sensey,Sensey,448
apppirater,Appirater,449
digital_turbine,Digital Turbine,450
plus1,WapStart.Plus1,451
adiquity,AdIQuity,452
plot_projects,Plot Projects,453
box,Box Android API,454
flutter,Flutter,455
jumptap,Jumptap,456
bee7,Bee7,457
holo-everywhere,HoloEverywhere,458
instant-apps,Android Instant Apps,459
lifestreet,Lifestreet,460
domob,domob,461
senddroid,SendDroid,462
adsmogo,AdsMogo,463
twitterapime,Twitter API ME,464
phunware,Phunware Advertising,465
authorize_net,Authorize.net,466
mobeleader,Mobeleader,467
box_onecloud,Box OneCloud,468
hunt,Hunt Mobile Ads,469
ticketview,TicketView,470
alt_dropbox,Alternative dropbox client,471
apphance,Apphance,472
speex,Speex,473
vserv,VServ,474
zong,Zong,475
scanapi,SocketScan ScanAPI,476
loopj_airbrake,Airbrake Notifier for Android,477
madhouse,Madhouse SmartMAD,478
applause,Applause,479
burstly,Burstly,480
nexage,Nexage,481
ampiri,Ampiri,482
ligatus,Ligatus,483
vdopia,VDopia,484
zubhium,Zubhium,485
adsage,adSage,486
flatiron,Flatiron Media,487
nybus,NYBus,488
appinventor,App Inventor,489
droidux,DroidUX,490
entagged,Entagged,491
adpindle,AdPindle Mobile Ad Network,492
youmi,YouMi,493
android-coverflow,Android Coverflow,494
unity_accessibility_plugin,Unity Accessibility Plugin,495
fuelpowered,Fuel Powered SDK,496
buzzcity,BuzzCity,497
wooboo,Wooboo,498
axonix,Axonix,513
moolah,Moolah Media,514
appsfire,Appsfire,515
segmented_control,SegmentedControl,516
madmobile,Madmobile,517
vi,Video Intelligence,518
admob,AdMob,526
support_lib,Android Support library,528
firebase,Firebase,532
google_gson,Google gson,538
adflex,AdFlex,548
liquidm,LiquidM,549
boku,Boku,550
quattrowireless,Quattro Wireless Ads,551
waps,WAPS,568
