idx::id::description
0::support_lib::The Support Package includes static 'support libraries' that you can add to your Android application in order to use APIs that are either not available for older platform versions or that offer 'utility' APIs that aren't a part of the framework APIs. The goal is to simplify your development by offering more APIs that you can bundle with your application so you can worry less about platform versions.
1::admob::AdMob is one of the world's largest mobile advertising networks, offering solutions for discovery, branding and monetization on the mobile web.
2::firebase::Firebase is a mobile platform that helps you quickly develop high-quality apps. It is made up of complementary features that you can mix-and-match to fit your needs.
3::gcm::Google Cloud Messaging (GCM) is a service that helps developers send data from servers to their applications on Android devices.
4::google_gson::Gson is a Java library that can be used to convert Java Objects into their JSON representation. It can also be used to convert a JSON string to an equivalent Java object. Gson can work with arbitrary Java objects including pre-existing objects that you do not have source-code of.
5::android_arch::A collection of libraries that help you design robust, testable, and maintainable apps.
6::facebook::This open-source Java library allows you to integrate Facebook into your Android application.
7::picasso::Picasso allows for hassle-free image loading in your application by handling ImageView recycling and download cancelation, and offering memory efficient image transformations, as well as automatic memory and disk caching.
8::okio::Okio is a library that complements java.io and java.nio to make it easier to access, store, and process data.
9::bolts::Bolts is a collection of low-level libraries designed to make developing mobile apps easier.
10::crashlytics::Crashlytics delivers real-time, detailed crash reports for mobile apps.
11::facebook_ads::Facebook Audience Network allows you to monetize your Android apps with Facebook ads.
12::fmod::The FMOD Ex sound system is a revolutionary audio engine for game developers, multimedia developers, sound designers, musicians and audio engineers. The development of FMOD Ex is based on the years of experienced of Firelight Technologies' previous product FMOD 3. FMOD Ex is intended to push the creative boundaries of audio implementation for games and the like, whilst using minimal resources and being fully scalable. FMOD Ex provides both a low-level API and data-driven API
13::glide::An image loading and caching library for Android focused on smooth scrolling.
14::unity::Unity is a feature rich, fully integrated development engine for the creation of interactive 3D content. It provides complete, out-of-the-box functionality to assemble high-quality, high-performing content and publish to multiple platforms.
15::retrofit::A type-safe REST client for Android and Java
16::fabric::Bundle of mobile SDKs for easy-of-use.
17::zxing::ZXing (pronounced "zebra crossing") is an open-source, multi-format 1D/2D barcode image processing library implemented in Java, with ports to other languages.
18::unity_ads::Unity Ads offer video ads for Unity and Android games
19::phonegap::PhoneGap is an HTML5 app platform that allows you to author native applications with web technologies and get access to APIs and app stores.
20::nineoldandroids::Android library for using the Honeycomb (Android 3.0) animation API on all versions of the platform back to 1.0!
21::volley::Volley is an HTTP library that makes networking for Android apps easier and faster.
22::flurry::Flurry Analytics delivers powerful insight into how consumers interact with your mobile applications in real-time.
23::butterknife::Butter Knife provides field and method binding for Android views.
24::chartboost::Chartboost provides free ad-serving technology for direct deals and cross-promotions.
25::reactivex::ReactiveX provides an API for asynchronous programming with observable streams. This API is available for Android in the RxJava and RxAndroid subprojects.
26::image-loader::Universal Image Loader for Android provides a reusable instrument for asynchronous image loading, caching and displaying.
27::okhttp::OkHttp is an efficient HTTP client providing features such as SPDY, connection pooling, transparent compression, and response caching.
