0::0
0::2
0::3
0::4
0::5
0::6
0::7
0::10
0::15
0::16
0::17
0::23
0::25
0::55
0::88
0::126
0::129
0::222
1::0
1::1
1::6
1::22
1::24
1::60
1::63
1::83
1::92
1::332
2::0
2::1
2::2
2::3
2::4
2::6
2::7
2::8
2::10
2::16
2::17
2::22
2::43
2::80
2::130
2::265
3::0
3::1
3::2
3::3
3::4
3::5
3::6
3::7
3::8
3::9
3::10
3::11
3::13
3::15
3::16
3::43
3::54
3::55
3::56
3::70
3::95
3::130
3::132
3::148
3::157
3::263
3::372
4::0
4::1
4::67
4::96
5::0
5::1
5::2
5::3
5::6
5::11
5::28
5::247
6::0
6::1
6::2
6::11
6::18
6::39
6::60
6::62
6::92
7::0
7::1
7::3
7::4
7::6
7::8
7::9
7::10
7::13
7::15
7::16
7::20
7::23
7::25
7::28
7::50
7::59
7::61
7::73
7::74
7::93
7::116
7::160
7::180
7::316
8::0
8::1
8::2
8::3
8::6
8::11
8::18
8::25
8::28
8::29
8::30
8::31
8::45
8::53
9::0
9::1
9::22
9::24
9::30
10::1
10::4
10::94
10::112
11::0
11::2
11::3
11::4
11::5
11::8
11::10
11::13
11::15
11::16
11::23
11::25
11::54
11::55
11::56
11::74
11::95
11::161
12::0
12::29
12::167
13::0
13::1
13::2
13::3
13::4
13::6
13::8
13::10
13::11
13::13
13::16
13::18
13::22
13::23
13::24
13::27
13::29
13::31
13::38
13::39
13::53
13::62
13::80
13::87
13::147
13::199
14::0
14::1
14::2
14::8
14::22
14::27
14::40
14::50
14::86
14::253
15::0
15::1
15::2
15::3
15::4
15::6
15::9
15::13
15::19
15::64
16::0
16::2
16::3
16::4
16::6
16::7
16::8
16::9
16::10
16::13
16::15
16::16
16::27
16::33
16::46
16::73
16::93
16::212
17::0
17::1
17::6
17::67
17::104
18::0
18::1
18::4
18::12
18::14
18::24
18::31
18::38
18::39
18::48
18::60
18::83
18::113
18::141
18::142
18::143
18::161
18::185
18::196
18::271
18::281
18::364
19::0
19::1
19::2
19::3
19::4
19::6
19::8
19::9
19::10
19::13
19::15
19::16
19::17
19::20
19::23
19::27
19::28
19::32
19::33
19::36
19::46
19::55
19::58
19::59
19::78
19::84
19::124
19::166
19::175
19::377
20::0
20::1
20::2
20::3
20::4
20::5
20::6
20::7
20::8
20::10
20::15
20::16
20::17
20::23
20::25
20::27
20::29
20::32
20::36
20::40
20::41
20::46
20::55
20::70
20::74
20::107
20::123
20::157
20::159
20::203
20::265
20::272
20::293
20::322
21::0
21::1
21::2
21::5
21::8
21::40
21::55
21::57
21::62
21::91
21::207
21::414
22::0
22::1
22::6
22::9
22::11
22::20
22::22
22::47
22::67
22::181
23::0
23::2
23::3
23::5
23::6
23::7
23::9
23::17
23::19
23::51
23::57
23::61
23::64
23::99
23::101
23::133
24::0
24::1
24::3
24::6
24::9
24::10
24::16
24::30
24::48
25::0
25::1
25::2
25::3
25::4
25::5
25::6
25::7
25::8
25::9
25::10
25::11
25::13
25::15
25::16
25::17
25::23
25::25
25::28
25::39
25::40
25::43
25::45
25::47
25::58
25::60
25::61
25::65
25::70
25::73
25::79
25::82
25::88
25::93
25::152
25::181
25::191
25::238
26::0
26::2
26::3
26::4
26::5
26::6
26::8
26::9
26::10
26::15
26::16
26::17
26::95
26::103
26::106
26::114
26::150
27::0
27::1
27::2
27::3
27::5
28::0
28::1
28::2
28::3
28::5
28::8
28::10
28::16
28::26
28::47
28::82
29::0
29::1
29::2
29::3
29::7
29::45
29::60
29::112
29::209
30::0
30::1
30::2
